# Lorenzo Manunza 14th April 2025

157768 atoms
1 atom types

-591.51267 591.51267 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   599 1  223.200727 -84.49 0.00
   600 1  224.430483 -83.78 0.00
   601 1  221.970971 -86.62 0.00
   602 1  220.741215 -85.91 0.00
   603 1  220.741215 -84.49 0.00
   604 1  221.970971 -83.78 0.00
   605 1  219.511459 -86.62 0.00
   606 1  218.281703 -85.91 0.00
   607 1  218.281703 -84.49 0.00
   608 1  219.511459 -83.78 0.00
   609 1  217.051947 -86.62 0.00
   610 1  215.822191 -85.91 0.00
   611 1  215.822191 -84.49 0.00
   612 1  217.051947 -83.78 0.00
   613 1  214.592435 -86.62 0.00
   614 1  213.362679 -85.91 0.00
   615 1  213.362679 -84.49 0.00
   616 1  214.592435 -83.78 0.00
   617 1  212.132923 -86.62 0.00
   618 1  210.903167 -85.91 0.00
   619 1  210.903167 -84.49 0.00
   620 1  212.132923 -83.78 0.00
   621 1  209.673411 -86.62 0.00
   622 1  208.443654 -85.91 0.00
   623 1  208.443654 -84.49 0.00
   624 1  209.673411 -83.78 0.00
   625 1  207.213898 -86.62 0.00
   626 1  205.984142 -85.91 0.00
   627 1  205.984142 -84.49 0.00
   628 1  207.213898 -83.78 0.00
   629 1  204.754386 -86.62 0.00
   630 1  203.524630 -85.91 0.00
   631 1  203.524630 -84.49 0.00
   632 1  204.754386 -83.78 0.00
   633 1  202.294874 -86.62 0.00
   634 1  201.065118 -85.91 0.00
   635 1  201.065118 -84.49 0.00
   636 1  202.294874 -83.78 0.00
   637 1  199.835362 -86.62 0.00
   638 1  198.605606 -85.91 0.00
   639 1  198.605606 -84.49 0.00
   640 1  199.835362 -83.78 0.00
   641 1  197.375850 -86.62 0.00
   642 1  196.146094 -85.91 0.00
   643 1  196.146094 -84.49 0.00
   644 1  197.375850 -83.78 0.00
   645 1  194.916338 -86.62 0.00
   646 1  193.686582 -85.91 0.00
   647 1  193.686582 -84.49 0.00
   648 1  194.916338 -83.78 0.00
   649 1  192.456825 -86.62 0.00
   650 1  191.227069 -85.91 0.00
   651 1  191.227069 -84.49 0.00
   652 1  192.456825 -83.78 0.00
   653 1  189.997313 -86.62 0.00
   654 1  188.767557 -85.91 0.00
   655 1  188.767557 -84.49 0.00
   656 1  189.997313 -83.78 0.00
   657 1  187.537801 -86.62 0.00
   658 1  186.308045 -85.91 0.00
   659 1  186.308045 -84.49 0.00
   660 1  187.537801 -83.78 0.00
   661 1  185.078289 -86.62 0.00
   662 1  183.848533 -85.91 0.00
   663 1  183.848533 -84.49 0.00
   664 1  185.078289 -83.78 0.00
   665 1  182.618777 -86.62 0.00
   666 1  181.389021 -85.91 0.00
   667 1  181.389021 -84.49 0.00
   668 1  182.618777 -83.78 0.00
   669 1  180.159265 -86.62 0.00
   670 1  178.929509 -85.91 0.00
   671 1  178.929509 -84.49 0.00
   672 1  180.159265 -83.78 0.00
   673 1  177.699753 -86.62 0.00
   674 1  176.469997 -85.91 0.00
   675 1  176.469997 -84.49 0.00
   676 1  177.699753 -83.78 0.00
   677 1  175.240240 -86.62 0.00
   678 1  174.010484 -85.91 0.00
   679 1  174.010484 -84.49 0.00
   680 1  175.240240 -83.78 0.00
   681 1  172.780728 -86.62 0.00
   682 1  171.550972 -85.91 0.00
   683 1  171.550972 -84.49 0.00
   684 1  172.780728 -83.78 0.00
   685 1  170.321216 -86.62 0.00
   686 1  169.091460 -85.91 0.00
   687 1  169.091460 -84.49 0.00
   688 1  170.321216 -83.78 0.00
   689 1  167.861704 -86.62 0.00
   690 1  166.631948 -85.91 0.00
   691 1  166.631948 -84.49 0.00
   692 1  167.861704 -83.78 0.00
   693 1  165.402192 -86.62 0.00
   694 1  164.172436 -85.91 0.00
   695 1  164.172436 -84.49 0.00
   696 1  165.402192 -83.78 0.00
   697 1  162.942680 -86.62 0.00
